codeAddon;nameAddon;realiseAddon
1.1;Classic;2004-11-07
1.2;Mysteries of Maraudon;2004-12-21
1.3;Ruins of the DIre Maul;2005-03-08
1.4;Call of War;2005-04-19
1.5;Battlegrounds;2005-06-07
1.6;Assault on Blackwing Lair;2005-07-12
1.7;Rise of the Blood God;2005-09-13
1.8;Dragons of Nightmare;2005-10-10
1.9;The Gates of Ahn`Qiraj;2006-01-03
1.10;Storms of Azeroth;2006-03-28
1.11;Shadow of the Necropolis;2006-06-19
1.12;Drums of War;2006-08-22
2.0;Friends & Family;2007-01-16
2.1;The Black Temple;2007-05-22
2.2;Voice Chat!;2007-10-03
2.3;Gods of Zul`Aman;2007-11-13
2.4;Fury of the Sunwell;2008-03-25
3.0;Echoes of Doom;2008-10-14
3.1;Тайны Ульдуара;2009-04-14
3.2;Призыв Серебряного Авангарда;2009-08-04
3.3;Падение Короля-Лича;2009-12-08
4.0;Раскол;2010-10-12
4.1;Возрождение Зандаларов;2011-04-26
4.2;Ярость огня;2011-06-28
4.3;Время Сумерек;2011-11-29
5.0;Mists of Pandaria;2012-03-21
5.1;Высадка;2012-11-27
5.2;Властелин Грома;2013-03-05
5.3;Восстание;2013-05-21
5.4;Осада Оргриммара;2013-09-10
6.0;Железный Прилив;2014-10-14
6.1;Обновление Гарнизонов;2015-02-24
6.2;Ярость Адского Пламени;2015-06-22
7.0;Вторжение легиона;2016-07-19
7.1;Возвращение в Каражан;2016-10-25
7.2;Гробница Саргераса;2017-03-28
7.3;Тени Аргуса;2017-08-29
